name,age_years,H1_fail_prob,H2_criticality,H3_energy,som_cluster
5,11,0.355963579,11,1022882,1
19,18,0.513247744,14,1575076,1
28,16,0.472707576,4,1482577,1
42,22,0.585217088,15,1276817,1
54,21,0.568289477,14,737163,1
60,17,0.493383008,4,1145730,1
74_1,21,0.568289477,15,888781,1
12,14,0.428790936,40,732954,1
55,45,0.834701112,1,231310,2
11,43,0.820933852,3,532193,2
72,43,0.820933852,10,627011,2
21,40,0.798103482,0,194173,2
24,35,0.753403036,0,298830,2
61,29,0.686513819,1,928,2
13,24,0.617107114,21,0,2
8,2,0.076883654,1,620858,3
15,4,0.147856211,0,217202,3
25,2,0.076883654,1,302141,3
33,2,0.076883654,1,425791,3
38,2,0.076883654,0,237797,3
39,2,0.076883654,1,775018,3
44,8,0.273850963,1,590308,3
46,3,0.113079563,2,484916,3
47,2,0.076883654,0,558810,3
53,2,0.076883654,0,256505,3
56,2,0.076883654,0,206733,3
58,2,0.076883654,5,592992,3
59,3,0.113079563,8,420479,3
62,3,0.113079563,5,514312,3
73,0,0,0,294435,3
74_2,2,0.076883654,15,0,3
88,4,0.147856211,0,76696,3
2,22,0.585217088,5,873781,4
14,18,0.513247744,4,644969,4
32,21,0.568289477,4,613216,4
48,22,0.585217088,1,515687,4
51,15,0.451188364,2,575210,4
52,13,0.405479452,1,828648,4
57,22,0.585217088,2,458878,4
81,12,0.381216608,3,318572,4
