name,cost_failure,customers_affected,value_lost_load,asset_type
2,4916,188,2224630.35,Trafo
5,6014,230,2507883.35,Trafo
8,4837,185,1863856.45,Trafo
11,4341,166,1443856.5,Trafo
13,1334,34,0,Trafo
14,4445,170,1638164.65,Trafo
15,1883,72,652719.05,Trafo
19,7374,282,3403134.6,Trafo
21,2589,188,281550.85,Trafo
24,4184,99,883650.65,Trafo
25,5360,160,903618.1,Trafo
28,7269,278,4016730.75,Trafo
32,3922,150,1760786.6,Trafo
33,3687,141,1223558.65,Trafo
38,2824,108,714644.55,Trafo
39,9544,365,2227574.15,Trafo
42,3423,119,2633087.2,Trafo
44,8812,337,1801057.6,Trafo
46,105,2,703128.2,Trafo
47,4707,2,810274.5,Trafo
48,12943,180,1407590.9,Trafo
51,4027,204,1579508.9,Trafo
52,2170,495,2561804.85,Trafo
53,5674,81,783013.05,Trafo
54,3373,140,1735496.25,Trafo
55,7243,2,296352.7,Trafo
56,3373,83,610540.6,Trafo
57,4184,217,1332857.5,Trafo
58,52,277,1515936.6,Trafo
59,3556,160,1000782.8,Trafo
60,78,109,2180810.3,Trafo
61,3425,1,1345.6,Trafo
62,1508,136,1236567,Trafo
73,1360,136,426930.75,Trafo
74,3373,168,1875852,Trafo
74,5334,168,0,Trafo
81,1229,3,461929.4,Trafo
88,157,52,241592.4,Trafo
12,6681.111638,241,2095855.55,Trafo
72,6681.111638,199,1567157.45,Trafo
1KV13/1,15174,971,7535612.25,Line
1KV13/2,15174,971,7535612.25,Line
1KV13/3,15174,2749,27579461.45,Line
1KV13/4,15174,2749,27579461.45,Line
1KV17/1,34083,269,3181593.1,Line
1KV17/10,34083,2749,27579461.45,Line
1KV17/11,34083,2749,27579461.45,Line
1KV17/12,34083,2749,27579461.45,Line
1KV17/2,34083,269,3181593.1,Line
1KV17/3,34083,269,3181593.1,Line
1KV17/4,34083,269,3181593.1,Line
1KV17/4,34083,269,3181593.1,Line
1KV17/5,34083,269,3181593.1,Line
1KV17/6,34083,971,7535612.25,Line
1KV17/7,34083,971,7535612.25,Line
1KV17/8,34083,971,7535612.25,Line
1KV17/9,34083,2749,27579461.45,Line
1KV22/1,19749,1176,16309164.55,Line
1KV22/10,19749,1176,16309164.55,Line
1KV22/11,19749,1176,16309164.55,Line
1KV22/12,19749,1176,16309164.55,Line
1KV22/13,19749,1176,16309164.55,Line
1KV22/2,19749,1176,16309164.55,Line
1KV22/3,19749,1176,16309164.55,Line
1KV22/4,19749,1176,16309164.55,Line
1KV22/5,19749,1176,16309164.55,Line
1KV22/6,19749,1176,16309164.55,Line
1KV22/7,19749,1176,16309164.55,Line
1KV22/8,19749,1176,16309164.55,Line
1KV22/9,19749,1176,16309164.55,Line
1KV3/1,43672,2749,27579461.45,Line
1KV3/10,43672,2749,27579461.45,Line
1KV3/11,43672,2749,27579461.45,Line
1KV3/12,43672,2749,27579461.45,Line
1KV3/12,43672,2749,27579461.45,Line
1KV3/13,43672,2749,27579461.45,Line
1KV3/14,43672,2749,27579461.45,Line
1KV3/15,43672,2749,27579461.45,Line
1KV3/16,43672,2749,27579461.45,Line
1KV3/17,43672,2749,27579461.45,Line
1KV3/18,43672,2749,27579461.45,Line
1KV3/2,43672,2749,27579461.45,Line
1KV3/2,43672,2749,27579461.45,Line
1KV3/3,43672,2749,27579461.45,Line
1KV3/4,43672,2749,27579461.45,Line
1KV3/5,43672,2749,27579461.45,Line
1KV3/6,43672,2749,27579461.45,Line
1KV3/7,43672,2749,27579461.45,Line
1KV3/8,43672,2749,27579461.45,Line
1KV3/9,43672,2749,27579461.45,Line
1KV18/7,43672,971,7535612.25,Line
1KV18/6,43672,971,7535612.25,Line
