name,repair_time,cost_failure
1KV13/1,4,15174.00
1KV13/2,4,15174.00
1KV13/3,4,15174.00
1KV13/4,4,15174.00
1KV17/1,4,34083.00
1KV17/10,6,34083.00
1KV17/11,4,34083.00
1KV17/12,6,34083.00
1KV17/2,6,34083.00
1KV17/3,6,34083.00
1KV17/4,4,34083.00
1KV17/4,4,34083.00
1KV17/5,4,34083.00
1KV17/6,6,34083.00
1KV17/7,6,34083.00
1KV17/8,6,34083.00
1KV17/9,6,34083.00
1KV22/1,4,19749.00
1KV22/10,4,19749.00
1KV22/11,4,19749.00
1KV22/12,4,19749.00
1KV22/13,6,19749.00
1KV22/2,4,19749.00
1KV22/3,4,19749.00
1KV22/4,4,19749.00
1KV22/5,4,19749.00
1KV22/6,4,19749.00
1KV22/7,6,19749.00
1KV22/8,4,19749.00
1KV22/9,4,19749.00
1KV3/1,4,43672.00
1KV3/10,6,43672.00
1KV3/11,4,43672.00
1KV3/12,4,43672.00
1KV3/12,4,43672.00
1KV3/13,4,43672.00
1KV3/14,4,43672.00
1KV3/15,4,43672.00
1KV3/16,4,43672.00
1KV3/17,4,43672.00
1KV3/18,4,43672.00
1KV3/2,6,43672.00
1KV3/2,4,43672.00
1KV3/3,4,43672.00
1KV3/4,6,43672.00
1KV3/5,4,43672.00
1KV3/6,4,43672.00
1KV3/7,4,43672.00
1KV3/8,4,43672.00
1KV3/9,4,43672.00
1KV18/7,6,43672.00
1KV18/6,6,43672.00
