name,external_condition,cost_failure
2,2,4916.00
5,2,6014.00
8,3,4837.00
11,2,4341.00
13,2,1334.00
14,2,4445.00
15,3,1883.00
19,2,7374.00
21,2,2589.00
24,2,4184.00
25,3,5360.00
28,1,7269.00
32,2,3922.00
33,3,3687.00
38,3,2824.00
39,3,9544.00
42,2,3423.00
44,3,8812.00
46,3,105.00
47,3,4707.00
48,2,12943.00
51,2,4027.00
52,2,2170.00
53,3,5674.00
54,2,3373.00
55,2,7243.00
56,3,3373.00
57,2,4184.00
58,3,52.00
59,3,3556.00
60,2,78.00
61,2,3425.00
62,3,1508.00
73,3,1360.00
74_1,2,3373.00
74_2,3,5334.00
81,2,1229.00
88,3,157.00
12,2,6681.11
72,2,6681.11
