,index,LA,action,,,,,
0,1,0.252,Keep the current maintenance,,,,,
1,2,0.278,Keep the current maintenance,,,,,
2,3,0.242,Keep the current maintenance,,,,,
3,4,0.211,Keep the current maintenance,,,,,
4,5,0.262,Keep the current maintenance,,,,,0.223440678
5,6,0.263,Keep the current maintenance,,,,,
6,7,0,Replacement,,,,,0.125422771
7,8,0.235,Keep the current maintenance,,,,,
8,9,0.263,Keep the current maintenance,,,,,
9,10,0.242,Keep the current maintenance,,,,,
10,11,0.262,Keep the current maintenance,,,,,
11,12,0.211,Keep the current maintenance,,,,,
12,13,0.252,Keep the current maintenance,,,,,
13,14,0.223,Keep the current maintenance,,,,,
14,15,0.356,Keep the current maintenance,,,,,
15,16,0.431,Keep the current maintenance,,,,,
16,17,0.412,Keep the current maintenance,,,,,
17,18,0.389,Keep the current maintenance,,,,,
18,19,0.251,Keep the current maintenance,,,,,
19,20,0.389,Keep the current maintenance,,,,,
20,21,0.211,Keep the current maintenance,,,,,
21,22,0.365,Keep the current maintenance,,,,,
22,23,0.336,Keep the current maintenance,,,,,
23,24,0.295,Keep the current maintenance,,,,,
24,25,0.432,Keep the current maintenance,,,,,
25,26,0.291,Keep the current maintenance,,,,,
26,27,0.293,Keep the current maintenance,,,,,
27,28,0.2,Keep the current maintenance,,,,,
28,29,0.373,Keep the current maintenance,,,,,
29,30,0.05,Keep the current maintenance,,,,,
30,31,0.313,Keep the current maintenance,,,,,
31,32,0.158,Keep the current maintenance,,,,,
32,33,0.05,Keep the current maintenance,,,,,
33,34,0.45,Keep the current maintenance,,,,,
34,35,0,Replacement,,,,,
35,36,0.065,Keep the current maintenance,,,,,
36,37,0.065,Keep the current maintenance,,,,,
37,38,0,Keep the current maintenance,,,,,
38,39,0.205,Keep the current maintenance,,,,,
39,40,0,Keep the current maintenance,,,,,
40,41,0.065,Keep the current maintenance,,,,,
41,42,0.18,Keep the current maintenance,,,,,
42,43,0.18,Keep the current maintenance,,,,,
43,44,0.281,Keep the current maintenance,,,,,
44,45,0.281,Keep the current maintenance,,,,,
45,46,0.257,Keep the current maintenance,,,,,
46,47,0.257,Keep the current maintenance,,,,,
47,48,0.05,Keep the current maintenance,,,,,
48,49,0.295,Keep the current maintenance,,,,,
49,50,0,Keep the current maintenance,,,,,
50,51,0.21,Keep the current maintenance,,,,,
51,52,0.301,Keep the current maintenance,,,,,
52,53,0.43,Keep the current maintenance,,,,,
53,54,0,Keep the current maintenance,,,,,
54,55,0.05,Keep the current maintenance,,,,,
55,56,0.229,Keep the current maintenance,,,,,
56,57,0.229,Keep the current maintenance,,,,,
57,58,0.156,Keep the current maintenance,,,,,
58,59,0.156,Keep the current maintenance,,,,,
