NAME,EI,LA,MS,ACTION
19A649,L,L,L,Keep the current maintenance
19A650,L,L,L,Keep the current maintenance
19A716,L,L,L,Keep the current maintenance
19A754,L,L,L,Keep the current maintenance
19P814,L,L,L,Keep the current maintenance
28AGM9,L,L,L,Keep the current maintenance
28AIN3,L,L,L,Keep the current maintenance
28AIQ3,L,L,L,Keep the current maintenance
28AIQ4,L,L,L,Keep the current maintenance
28ANG2,L,L,L,Keep the current maintenance
28ANG4,L,L,L,Keep the current maintenance
28ANG5,L,L,L,Keep the current maintenance
28ANG8,L,L,L,Keep the current maintenance
28ANH0,L,L,L,Keep the current maintenance
28APE6,L,L,L,Keep the current maintenance
28APE9,L,L,L,Keep the current maintenance
28APF0,L,L,L,Keep the current maintenance
28APF3,L,L,L,Keep the current maintenance
28APF5,L,L,L,Keep the current maintenance
28AQG2,L,L,L,Keep the current maintenance
28ARM7,L,L,L,Keep the current maintenance
28ARN3,L,L,L,Keep the current maintenance
28CBC9,L,L,L,Keep the current maintenance
28CCKN,L,L,L,Keep the current maintenance
28CCWV,L,L,L,Keep the current maintenance
28CDPG,L,L,L,Keep the current maintenance
28CDR2,H,M,M,Replacement
28CDR3,L,L,L,Keep the current maintenance
28CDR5,L,L,M,Keep the current maintenance
28CFHW,L,L,L,Keep the current maintenance
28CFHX,L,L,L,Keep the current maintenance
28CFHY,L,L,L,Keep the current maintenance
28CFHZ,L,L,L,Keep the current maintenance
28CFKY,L,L,L,Keep the current maintenance
28CHHS,L,M,M,Shorten the maintenance cycle
28CHQD,M,L,L,Keep the current maintenance
28CIA6,L,L,L,Keep the current maintenance
28CIA7,L,L,L,Keep the current maintenance
28CIA8,L,L,L,Keep the current maintenance
28CIA9,L,L,L,Keep the current maintenance
28CIB0,L,L,L,Keep the current maintenance
28CIB1,L,L,L,Keep the current maintenance
28CIB2,L,L,L,Keep the current maintenance
28CIB3,L,L,L,Keep the current maintenance
28CIB4,L,L,L,Keep the current maintenance
28CIB5,L,L,L,Keep the current maintenance
28CIB9,L,L,L,Keep the current maintenance
28CIC8,L,L,L,Keep the current maintenance
28CIC9,L,L,L,Keep the current maintenance
28CIW1,L,L,L,Keep the current maintenance
28CJF4,L,L,L,Keep the current maintenance
28CJKK,L,L,L,Keep the current maintenance
28CLN4,L,L,L,Keep the current maintenance
28CMFM,L,L,L,Keep the current maintenance
28CNTW,L,L,L,Keep the current maintenance
28CPYL,L,L,L,Keep the current maintenance
28CPYN,L,L,L,Keep the current maintenance
28CQPQ,L,L,L,Keep the current maintenance
28CRQM,L,L,L,Keep the current maintenance
28CUB0,L,L,L,Keep the current maintenance
28CVC5,L,L,L,Keep the current maintenance
28CXN2,L,L,L,Keep the current maintenance
28CYL3,L,L,M,Keep the current maintenance
28CZP5,L,L,L,Keep the current maintenance
28PBLK,L,L,L,Keep the current maintenance
28PBVP,L,L,L,Keep the current maintenance
28PBZK,L,L,L,Keep the current maintenance
28PCAT,L,H,L,Replacement
28PCKK,L,L,L,Keep the current maintenance
28PFQB,L,L,L,Keep the current maintenance
28PJTZ,L,L,L,Keep the current maintenance
28PLPZ,L,L,L,Keep the current maintenance
28PNG6,L,L,L,Keep the current maintenance
28PNG7,L,L,L,Keep the current maintenance
28PNG9,L,L,L,Keep the current maintenance
28PNNZ,L,L,L,Keep the current maintenance
28PPE4,L,L,L,Keep the current maintenance
28PPE7,L,L,L,Keep the current maintenance
28PPF1,L,L,L,Keep the current maintenance
28PPF2,L,L,L,Keep the current maintenance
28PRQP,L,L,L,Keep the current maintenance
28PSJ3,L,L,L,Keep the current maintenance
28PST0,L,L,L,Keep the current maintenance
28PTA3,L,L,L,Keep the current maintenance
28PTM7,L,L,L,Keep the current maintenance
28PTQ3,L,L,L,Keep the current maintenance
28PVKN,L,L,L,Keep the current maintenance
28PXC6,L,L,L,Keep the current maintenance
28PYY2,L,L,L,Keep the current maintenance
45ABP7,L,L,L,Keep the current maintenance
45PCW7,L,L,L,Keep the current maintenance
45PYY8,L,L,L,Keep the current maintenance
